"id","year","gender","wage2"
"1","1980","male",1414.06398305085
"1","1981","male",1428.27540983607
"2","1980","male",2669.91101694915
"2","1981","male",2648.2606557377
"3","1980","male",2666.61483050847
"3","1981","male",2615.5293442623
"4","1980","female",2126.04025423729
"4","1981","female",2106.7062295082
"5","1980","male",3790.61440677966
"5","1981","male",4463.36065573771
"6","1980","male",3873.01906779661
"6","1981","male",5489.93360655738
"7","1980","male",1934.86144067797
"7","1981","male",1874.61147540984
"8","1980","male",2402.91991525424
"8","1981","male",2719.67442622951
"9","1980","male",3955.42372881356
"9","1981","male",3868.24590163934
"10","1980","male",2241.40677966102
"10","1981","male",2216.80245901639
"11","1980","male",3760.94872881356
"11","1981","male",3707.56491803279
"12","1980","male",2739.13093220339
"12","1981","male",3109.47459016393
"13","1980","male",4683.88093220339
"13","1981","male",4210.4368852459
"14","1980","male",4120.23305084746
"14","1981","male",3695.66262295082
"15","1980","female",1974.4156779661
"15","1981","female",1934.12295081967
"16","1980","female",1539.31906779661
"16","1981","female",1431.25098360656
"17","1980","male",3955.42372881356
"17","1981","male",3719.46721311475
"18","1980","male",7416.41949152542
"18","1981","male",7141.37704918033
"24","1980","female",1021.81779661017
"24","1981","female",1026.57295081967
"30","1980","female",2152.40974576271
"30","1981","female",2139.43754098361
"42","1980","female",2940.19830508475
"42","1981","female",3026.15852459016
"45","1980","female",2505.10169491525
"45","1981","female",2374.50786885246
"50","1980","female",2561.13686440678
"50","1981","female",2538.16442622951
"60","1980","female",1499.76483050847
"60","1981","female",1493.73803278689
"61","1980","female",3131.37711864407
"61","1981","female",2511.38426229508
"79","1980","female",1153.66525423729
"79","1981","female",1145.59590163934
"86","1980","female",2571.02542372881
"86","1981","female",2850.59967213115
"90","1980","female",1648.09322033898
"90","1981","female",1785.34426229508
"117","1980","female",2867.68220338983
"117","1981","female",3058.88983606557
"164","1980","female",2142.52118644068
"164","1981","female",2181.09557377049
